From,To
['JP6213941'],JP10288633
['CN102509010'],CN106971084
['US2011087438'],CN203208031
['US2010063382'],CN203288575
['CN203802580'],CN203555838
['CN203802580'],CN203693753
['WO2012113014'],CN204520634
['EP2990912'],CN204719671
['CN104224131'],CN204839451
['US2015084860'],CN204965329
['US2016126614'],CN205029005
['WO2014147584'],CN205251804
['US2014035761'],CN205281402
['US2011298613'],CN205359454
['CN203133577'],CN205490666
['CN104305972'],CN205539971
['CN204091962'],CN205539971
['CN202218266'],CN205648338
['CN106073796'],CN205795706
['CN105204476'],CN205796067
['KR1516766'],CN206164608
['US2017007450'],CN206178658
['WO2016049019'],CN206531717
['WO2015100482'],CN206660582
['US2015061970'],CN206914011
['WO2017010822'],CN207199279
['WO2015100482'],CN207220802
['CN105835069'],CN207415376
['WO2015100482'],CN207520121
['CN201831883'],CN207949793
['US2015220299'],CN208077524
['WO2015115285'],CN208078737
['WO2015115285'],CN208078737
['EP3226101'],CN208158661
['EP3489795'],CN208190691
['EP3226101'],CN208401902
['EP3226101'],CN208433994
['EP3197063'],CN208479639
['EP3051625'],CN208835266
['US2015219608'],CN209188372
['US2015097759'],CN209201256
['EP3116204'],CN209233900
['WO2018026163'],CN209345209
['US2015097759'],CN209728336
['US2019034690'],CN209765529
['EP3382499'],CN209860671
['US2018206354'],CN210052026
['US2018113280'],CN210323553
['EP3490058'],CN210897636
['EP3726121'],CN211152025
['US2019042045'],CN211236846
['US2018096187'],CN211319239
['US2018096187'],CN211319245
['CN104546193'],CN211432650
['US2019034690'],CN211529172
['CN209133226'],CN211553137
['US2018032163'],CN211956414
['US2020209992'],CN212906231
['US2020119581'],CN214337578
['CN203276282'],TW492492
['US2017171960'],TW571118
['WO2017135667'],US2019230203
['US2015119667'],EP3939961
['KR2021001959'],KR2002044368
['CN107506602'],CN111785339
['CN110491462'],CN111785339
['CN107506602'],CN111785339
['CN110491462'],CN111785339
['WO2009132058'],WO2013072415
['WO2009132058'],WO2013072406
['WO2009132058'],WO2014140248
['WO2013134558'],CN103602746
['CN103248681'],CN106526177
['WO2009132058'],EP2762497
['WO2009132058'],WO2012066058
['CN105868881'],CN108206053
['TW485701'],US7042171
['JP2018022412'],WO2020142441
['JP2018022412'],WO2020142370
['US10140544'],CN110211098
['WO2016153429'],CN110346078
['US2017300147'],WO2020246083
['WO2010140588'],US2009116723
['WO2009140757'],US2018312797
['WO2012045882'],WO2013151762
['WO2013134558'],WO2014010250
['CN102088474'],CN108461156
['CN107122612'],CN108461156
['CN101937488'],CN102609617
['US2009297013'],EP2385474
['CN106168759'],CN108975553
['WO2011073822'],WO2014033568
['CN107095666'],CN113405448
['WO2009099707'],US2014151607
['WO2013096954'],WO2018117603
['WO2015120280'],WO2017075119
['US2009287500'],US8195594
['US2011205061'],US2012278104
['WO2012018387'],US2018223360
['WO2012018387'],US2018223360
['WO2009099707'],US2012088084
['WO2009099707'],US2015173188
['WO2009099707'],US2015173188
['WO2011060272'],WO2021123506
['WO2015093754'],CN110853413
['WO2017026633'],WO2020080851
['WO2011127991'],US2014282753
['US2010324380'],US2012280916
['CN101782935'],CN102054032
['US2018234114'],WO2021104480
['WO2018117899'],CN109585022
['WO2015009792'],CN112535845
['US2012095352'],US2016242697
['US2012095357'],US2016242697
['US2013072807'],US2016242697
['WO2010108287'],US2016242697
['WO2013066642'],US2016242697
['EP2787352'],WO2017222833
['EP2787352'],WO2017222833
['WO2011145411'],WO2015146409
['CN107644678'],CN109036553
['CN107506608'],CN109033754
['US2011004071'],EP2790120
['US2013024206'],EP2790120
['WO2012160796'],EP2790120
['CN109599157'],CN110782954
['US2016321428'],CN110236526
['CN106446595'],CN108766567
['WO2015020886'],CN106137168
['WO2009099707'],WO2010107762
['WO2009099707'],WO2010107762
['CN109060199'],CN110274713
['US2012226768'],WO2014151930
['US2014152466'],WO2014151930
['US2012226771'],WO2014151930
['EP3104304'],WO2007104552
['CN109060199'],CN110952225
['CN109060199'],CN110411616
['CN106546161'],CN108716885
['WO2015126466'],EP3165153
['WO2017077833'],WO2017104249
['CN109524084'],CN110265113
['CN107506608'],CN109448853
['WO2017153907'],CN111933706
['US2014081100'],WO2010030226
['WO2013134558'],CN105018638
['CN102647369'],TW456037
['CN107354127'],CN112342217
['WO2010045463'],CN110317871
['WO2009099707'],CN103113786
['WO2009099707'],US2016012936
['WO2009099707'],WO2013123339
['WO2009099707'],WO2013123339
['CN204189169'],CN104971437
['CN102048580'],CN102509010
['CN102184312'],CN102509010
['CN109060199'],CN110306354
['CN105326495'],CN108078543
['CN110269620'],CN111505217
['WO2010139810'],CN102643812
['WO2012045882'],WO2014100600
['WO2012045882'],US2015252102
['CN106473750'],CN107088069
['WO2012045882'],WO2016079597
['WO2012045882'],US2017129949
['WO2012045882'],US2015175685
['US2012136263'],US2019329034
['WO2009099707'],WO2021175989
['WO2013134558'],CN106047875
['CN107354127'],CN110305867
['CN106446595'],CN109524118
['CN107680676'],CN109524118
['CN101968644'],CN111474879
['CN110865593'],CN111474879
['CN101968644'],CN111474879
['CN110865593'],CN111474879
['CN108899071'],CN113421383
['US7912991'],US8127048
['US8753273'],US2020077236
['CN106709269'],CN111008242
['WO2009128000'],TW201622641
['CN110070937'],CN112242191
['US2017359626'],US2021127165
['WO2009137682'],US2007213621
['WO2009099707'],US2013309456
['WO2019200410'],WO2021202351
['WO2010139810'],CN103045597
['CN111518884'],CN112301033
['CN110731591'],CN111513933
['CN207136471'],CN111513933
['CN106530166'],CN110837565
['CN109087691'],CN110837565
['CN106530166'],CN110837565
['CN109087691'],CN110837565
['WO2013134558'],CN105063221
['CN107680674'],CN108364689
['WO2009120877'],US2017029509
['WO2012045882'],US2018016330
