word,fields,sum
absorb,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '10', '12', '26', '15', '8', '2', '23', '17', '13', '20', '31', '35', '19', '22', '6', '25', '32']",27
advantag,[],0
biolog,"['1', '16', '11', '9', '4', '24', '21', '34', '30', '10', '12', '26', '15', '8', '2', '3', '14', '23', '27', '13', '31', '33', '22', '6', '29', '25', '32', '7']",28
bodi,"['1', '16', '11', '9', '5', '4', '34', '21', '28', '30', '10', '12', '26', '15', '8', '2', '3', '23', '14', '27', '18', '13', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",32
capabl,"['6', '12', '2', '5', '4', '35', '3', '7', '13']",9
claim,[],0
compris,[],0
depth,"['1', '9', '4', '21', '34', '28', '30', '10', '12', '26', '8', '2', '3', '13', '35', '33', '19', '6', '29', '25', '32', '7']",22
descript,[],0
detail,[],0
detect,"['1', '16', '11', '9', '5', '4', '24', '21', '34', '28', '10', '12', '26', '8', '2', '3', '23', '27', '13', '31', '35', '33', '22', '6', '29', '25', '32', '7']",28
determin,"['1', '11', '9', '4', '34', '21', '10', '12', '15', '8', '2', '3', '13', '31', '35', '33', '6', '32', '7']",19
devic,"['1', '6', '30', '10', '12', '11', '15', '9', '2', '5', '4', '25', '34', '35', '3', '7', '33', '13']",18
dimens,"['1', '28', '6', '16', '10', '12', '11', '9', '2', '4', '32', '7', '3', '13']",14
dimension,"['1', '9', '5', '4', '21', '34', '10', '12', '8', '2', '3', '27', '13', '31', '35', '33', '6', '29', '25', '32', '7']",21
distanc,"['1', '11', '9', '5', '4', '34', '10', '12', '26', '8', '2', '3', '23', '13', '35', '33', '22', '6', '29', '25', '32', '7']",22
draw,[],0
electr,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '30', '10', '12', '26', '15', '8', '2', '3', '14', '23', '17', '27', '13', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",33
element,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '10', '12', '26', '15', '8', '2', '3', '14', '27', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",31
end,"['1', '11', '9', '4', '24', '34', '28', '10', '12', '26', '2', '3', '14', '13', '20', '31', '33', '6', '29', '25', '32', '7']",22
equal,"['1', '28', '6', '10', '12', '9', '2', '8', '5', '4', '3']",11
equip,"['1', '16', '11', '9', '5', '4', '24', '34', '28', '30', '10', '12', '26', '15', '8', '2', '3', '14', '23', '17', '27', '18', '13', '20', '31', '35', '33', '19', '6', '29', '25', '32', '7']",33
face,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '10', '12', '26', '15', '8', '2', '23', '3', '13', '20', '31', '35', '33', '19', '6', '29', '25', '32', '7']",28
fix,"['1', '9', '4', '24', '21', '34', '30', '10', '12', '26', '8', '2', '3', '23', '17', '13', '31', '35', '33', '6', '29', '25', '32', '7']",24
form,"['9', '4', '34', '21', '28', '10', '12', '15', '8', '2', '3', '23', '17', '13', '20', '19', '22', '6', '29', '25', '7']",21
great,[],0
imag,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '30', '10', '12', '26', '15', '8', '2', '3', '14', '23', '17', '27', '18', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",35
incid,"['1', '20', '6', '10', '29', '12', '9', '8', '2', '31', '25', '32', '21', '3', '13', '24', '34']",17
includ,[],0
independ,[],0
insul,"['1', '16', '9', '4', '21', '34', '28', '10', '12', '26', '8', '2', '23', '14', '17', '3', '27', '13', '20', '33', '19', '6', '29', '25', '32']",25
layer,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '30', '10', '12', '26', '15', '8', '2', '3', '14', '17', '23', '27', '18', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",35
light,"['1', '16', '11', '9', '5', '4', '24', '21', '34', '28', '30', '10', '12', '26', '15', '8', '2', '3', '14', '17', '23', '27', '18', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",35
make,"['12', '6', '7', '13']",4
manufactur,"['1', '16', '11', '9', '4', '24', '21', '34', '28', '10', '12', '26', '15', '2', '3', '23', '17', '27', '13', '20', '31', '33', '19', '6', '29', '25', '7']",27
materi,"['1', '16', '11', '9', '5', '4', '24', '21', '34', '28', '30', '10', '12', '26', '15', '8', '2', '3', '23', '17', '18', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",33
matrix,"['6', '10', '29', '12', '14', '11', '15', '8', '2', '5', '4', '21', '3', '23', '24', '13']",16
method,[],0
monitor,"['1', '16', '11', '9', '5', '4', '24', '21', '34', '28', '30', '10', '12', '26', '15', '8', '2', '3', '14', '23', '17', '27', '18', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",35
novelti,[],0
object,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '30', '10', '12', '26', '15', '8', '2', '3', '23', '17', '27', '18', '13', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",33
open,"['1', '11', '9', '5', '4', '24', '21', '34', '30', '10', '12', '26', '8', '2', '3', '14', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",28
oper,"['1', '9', '5', '4', '24', '10', '12', '8', '2', '3', '23', '27', '13', '33', '6', '29', '25', '32', '7']",19
opposit,"['1', '6', '10', '29', '12', '8', '2', '9', '5', '4', '3', '13', '21']",13
photographi,"['1', '6', '10', '9', '2', '32', '7', '3', '27', '24', '13']",11
posit,"['1', '11', '9', '4', '24', '34', '21', '28', '30', '10', '12', '15', '8', '2', '3', '23', '27', '13', '31', '35', '33', '6', '29', '25', '32', '7']",26
reflect,"['1', '11', '9', '5', '4', '24', '21', '28', '30', '10', '12', '8', '2', '3', '13', '33', '19', '6', '25', '32', '7']",21
remot,"['1', '16', '11', '9', '5', '4', '24', '21', '34', '30', '10', '12', '26', '15', '2', '3', '23', '17', '27', '13', '20', '31', '35', '33', '19', '6', '29', '25', '32', '7']",30
schemat,[],0
sensor,"['1', '16', '11', '9', '5', '4', '24', '34', '21', '28', '30', '10', '12', '26', '15', '8', '2', '3', '23', '17', '14', '27', '18', '13', '20', '31', '35', '33', '19', '22', '6', '29', '25', '32', '7']",35
separ,"['1', '6', '10', '12', '11', '9', '2', '4', '31', '34', '3', '23', '33', '24', '13']",15
set,"['1', '16', '11', '9', '5', '4', '34', '28', '30', '10', '12', '15', '2', '3', '14', '13', '31', '35', '33', '6', '32', '7']",22
show,[],0
