word,fields,sum,brillouin
absorb,"{'13': 6, '16': 1, '23': 1, '8': 1, '2': 3, '10': 1, '6': 2, '3': 1}",16,0.586506615706277
advantag,{},0,
biolog,"{'3': 7, '6': 21, '7': 4, '10': 2, '11': 2, '13': 39, '35': 1, '2': 3, '4': 4, '12': 2, '23': 1}",86,0.653747419807836
bodi,"{'13': 65, '7': 9, '3': 11, '4': 21, '6': 33, '33': 5, '12': 11, '34': 3, '35': 1, '1': 3, '10': 6, '2': 6, '9': 1, '29': 1, '25': 2, '23': 1}",179,0.8327993623623086
capabl,"{'3': 3, '13': 2, '6': 2, '4': 7, '7': 5, '11': 1}",20,0.561215079633648
claim,{},0,
compris,{},0,
depth,"{'10': 5, '28': 1, '13': 6, '6': 19, '2': 17, '7': 2, '12': 1, '4': 1, '9': 2}",54,0.6331218731750062
descript,{},0,
detail,{},0,
detect,"{'13': 81, '12': 10, '4': 23, '6': 51, '27': 1, '11': 5, '3': 8, '24': 2, '2': 6, '1': 2, '10': 14, '5': 1, '7': 6, '33': 2, '34': 4, '25': 2, '9': 3, '35': 1}",222,0.8262209096838975
determin,"{'7': 2, '6': 15, '4': 7, '3': 4, '12': 3, '29': 1, '13': 11, '2': 1, '10': 2}",46,0.6860882900819357
devic,"{'6': 16, '4': 18, '7': 7, '13': 16, '3': 11, '1': 3, '10': 5, '12': 1, '9': 1, '2': 4, '28': 1, '25': 1}",84,0.8158532591875827
dimens,"{'2': 3, '6': 12, '13': 13, '7': 1, '3': 1}",30,0.4390297181356651
dimension,"{'8': 1, '9': 4, '2': 8, '10': 1, '6': 39, '7': 7, '13': 38, '3': 2, '12': 3, '4': 7, '31': 1}",111,0.6734086575940504
distanc,"{'2': 13, '10': 7, '13': 9, '6': 18, '7': 3, '3': 9, '9': 2, '4': 6, '12': 3, '25': 1, '8': 1}",72,0.8145799020710872
draw,{},0,
electr,"{'24': 1, '9': 2, '2': 15, '13': 31, '12': 3, '34': 3, '6': 18, '7': 4, '10': 5, '28': 1, '1': 9, '3': 18, '5': 4, '4': 10, '8': 3, '19': 1, '25': 1}",129,0.9337824251271064
element,"{'6': 83, '7': 18, '13': 46, '11': 2, '24': 1, '2': 39, '3': 51, '12': 4, '25': 3, '1': 7, '4': 13, '10': 5, '8': 4, '9': 14, '21': 1, '34': 3, '32': 3, '5': 2, '35': 2, '31': 1, '19': 1, '27': 1}",304,0.9251683568990993
end,"{'13': 92, '6': 28, '7': 13, '4': 17, '12': 7, '10': 3, '2': 16, '23': 3, '3': 7, '1': 3, '31': 6, '11': 1, '9': 2}",198,0.7482548181541332
equal,"{'6': 4, '13': 4, '12': 1, '4': 2, '5': 1, '2': 1}",13,0.5179098336386375
equip,"{'10': 3, '4': 16, '13': 35, '6': 29, '9': 2, '2': 6, '7': 9, '1': 2, '33': 1, '12': 6, '3': 9, '8': 1, '32': 2, '35': 1, '31': 1}",123,0.8316066731814873
face,"{'8': 1, '9': 6, '2': 30, '13': 37, '6': 56, '7': 9, '3': 27, '4': 6, '1': 5, '10': 3, '12': 4, '32': 1, '27': 1, '31': 1, '20': 1, '21': 1, '25': 1, '33': 1}",191,0.8392864029324423
fix,"{'6': 19, '4': 4, '13': 53, '2': 23, '3': 7, '12': 6, '31': 16, '33': 1, '10': 1, '35': 2, '34': 1, '17': 1, '29': 1, '1': 2, '25': 2, '23': 5, '9': 2}",146,0.8246412905806367
form,"{'6': 25, '7': 7, '13': 13, '3': 6, '2': 4, '4': 4, '8': 2, '9': 3, '21': 1, '28': 2, '29': 2}",69,0.7572022354603707
great,"{'4': 1, '13': 2, '7': 1, '33': 1}",5,0.35563025007672866
imag,"{'2': 257, '13': 260, '6': 417, '7': 59, '24': 10, '9': 49, '3': 54, '4': 50, '10': 32, '11': 4, '27': 2, '1': 6, '28': 5, '12': 8, '8': 8, '25': 3, '35': 1, '20': 1, '23': 1, '32': 3, '16': 1}",1231,0.8076085457015549
incid,"{'2': 8, '8': 3, '9': 7, '10': 3, '1': 2, '6': 5, '3': 3, '4': 1, '13': 2, '34': 1, '12': 1, '19': 1, '7': 2}",39,0.8380745905834465
includ,{},0,
independ,{},0,
insul,"{'10': 2, '13': 5, '2': 8, '3': 12, '21': 1, '6': 4, '1': 1, '8': 1, '9': 1}",35,0.6562272193544855
layer,"{'8': 19, '9': 16, '2': 34, '6': 82, '7': 9, '4': 17, '13': 46, '3': 38, '16': 1, '29': 4, '21': 11, '34': 5, '27': 1, '12': 4, '24': 2, '10': 9, '1': 4, '19': 4, '23': 1, '32': 1, '5': 1, '20': 1, '35': 1}",311,0.9859925451179119
light,"{'10': 34, '11': 1, '13': 85, '15': 1, '22': 1, '2': 69, '1': 15, '6': 70, '9': 40, '3': 30, '4': 7, '7': 4, '24': 1, '12': 8, '8': 15, '34': 1, '27': 1, '32': 1}",384,0.9057742518238961
